name,uri,genres,artist,mood
Running Wild (feat. The Oddictions and Britt Daley) - Jayceeoh Remix,2ytQKZdKX7cBmTVUyMOpDh,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",Morgan Page,energetic
Embrace (Le Youth Radio Mix),5fHGOimObvIVedxB8FtoSs,"['alternative dance', 'chillwave', 'filter house', 'indie poptimism', 'indie soul', 'new french touch', 'nu disco', 'shimmer pop', 'tropical house', 'vapor soul']",Goldroom,energetic
Work It Out (feat. Digital Farm Animals),7L2H9LWWKBLhITaUZLFMdy,"['belgian edm', 'drum and bass', 'liquid funk']",Netsky,energetic
Eyes Wide - Samuel Remix,7waP40PaRQxuDC57OPhggg,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",Meadowlark,energetic
Dynamite,6VZjkGczm8t7GS5kg6ouMi,"['pop', 'post-teen pop']",AU8UST,energetic
I Wish (My Taylor Swift) - Jayceeoh Remix,29tM5UdanIQKUiVs4x7Py1,"['alternative dance', 'edm', 'indie poptimism', 'indietronica', 'nu disco', 'pop', 'tropical house']",The Knocks,energetic
Tremble,19nduPc9nAYRcQkK4xRUrf,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm']",Nicole Millar,energetic
Bright Side - Axmod Remix,0kTc2C6tQwyQymYJ2N73Hl,"['new french touch', 'pop dance', 'tropical house']",Mozambo,energetic
Keeping Your Head Up - Don Diablo Remix; Radio Edit,7KCXA4Y1gIGDSm388m9bW1,"['indie cafe pop', 'pop', 'pop rock']",Birdy,energetic
Bass Charmer (feat. JFMEE),3PKjtWFHJDv6S3kE0DzxQQ,"['brostep', 'danish electronic', 'edm', 'electro house', 'gaming edm', 'glitch', 'speedrun']",Pegboard Nerds,energetic
Rolling (feat. Chrissy Quadros),6AR4KHAOjFwhzy9wtnHDKw,['deep groove house'],TKDJS,energetic
Afterlife (Remix by Frank Pole),2sLOxiEuoHX49R7bHcqQcR,['deep tropical house'],Frank Pole,energetic
With You (Regulators Remix),14SkRv8oTdxxuvbezJMEmm,"['contemporary country', 'country rap', 'redneck']",Dirty South,energetic
Inside Out,7sG2bWi2eDtvX9vX8yC1Gn,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",The Chainsmokers,energetic
Drum Machine (feat. Skrillex) - Fareoh Remix,7GZY9eji1IOzqBWYnkIcpg,['escape room'],Big Grams,energetic
Down (Shindō & Ricky Mears Remix),04cnOzTrNOLJrFbRIO4CPJ,"['edm', 'electropop', 'future bass', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house']",Brandyn Burnette,energetic
Raging (feat. Kodaline),6DsFZITJMPnh8z5XewfVmL,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo,energetic
Satisfy,3ZcC7u9G26MSB5zJ3eNUGR,"['vapor soul', 'vapor twitch']",MOONZz,energetic
Give Me Your Love (feat. Nile Rodgers),4CWZOyb9YHIH06yfsvY6k1,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",Sigala,energetic
Jungle - Remix,5wnfZ7VjDpZNyfJkqc9I1d,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']",X Ambassadors,energetic
Marathon,3a1oOzpXDb8k36NvADS7NU,"['alt z', 'dance pop', 'edm', 'electro house', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']",Lost Kings,energetic
Hair (feat. Sean Paul),5jlsg7onynIipVy5krMaRZ,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",Little Mix,energetic
Talking About Love,1RU2RF3jSyU8o3QbOpTroT,"['alt z', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",King Topher,energetic
The Touch,34P8D49tOZahwQRePYGEIt,['indie poptimism'],KOLAJ,energetic
Takes My Body Higher (feat. Lincoln Jesser),306DlsO3OgFYsFZCfZzlBW,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie electropop', 'indie poptimism', 'la pop', 'pop', 'tropical house']",Shoffy,energetic
This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,energetic
Care (Ft. Madi),1JYqoqlqzUAAYJeOVlhKIC,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",R3HAB,energetic
How to Love (feat. Sofia Reyes),2VYiQ9ijG3NER2aevaxzDi,"['dance pop', 'pop', 'post-teen pop']",Cash Cash,energetic
Get It On,2SvNvlHAEdfYELO3sCWcKP,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']",Jenaux,energetic
Fragile,72KReh9TpK9uZI7uyxTf2y,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie electropop', 'indie poptimism', 'la pop', 'pop', 'tropical house']",Prince Fox,energetic
Surprise Yourself - GRYFFIN x Manila Killa Remix,5Q17mAldONliLKiSKpikRv,['uk alternative pop'],Jack Garratt,energetic
Golden Light (feat. 6AM),3T8j0WDSw7G98rNLAe2M2X,['florida rap'],Madden,energetic
Open Fire (feat. Daniel Johns),2WXkX9ZPKPmZkesWdQ26QU,"['banjo', ""children's folk"", ""children's music"", 'kindie rock']",SLUMBERJACK,energetic
Parallel Lines (feat. Phantogram),6FbpmeFayVrx4cZiVxZvtF,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']",A-Trak,energetic
Tunnel Vision,34E0S4r5M2UQz6bqGxuFVC,[],Srsly,energetic
The Power of Your Love - Radio Mix,1rG6DktXGTvok4AWzA3Lpv,[],Adana,energetic
At Night (I Think About You),4lwthdbsRkAnZhFunjjgrs,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house', 'uk dance']",MNEK,energetic
Good To Be Loved - KREAM Remix,1XuSzOOnPnjMyzqlQZazz4,['brooklyn drill'],M-22,energetic
2 Heads,5RK8kePPbYkBqMu1e23zuv,"['canadian pop', 'indie poptimism']",Coleman Hell,energetic
Mad Behaviour - Seamus Haji Remix,64LuKjZ2Ni4ZqxYYpY38S6,"['chill r&b', 'pop', 'uk pop']",Izzy Bizu,energetic
Kill The Lights (with Nile Rodgers) - Audien Remix,4iCKHGl4ij4YMwFrUZLGEQ,['indie poptimism'],Alex Newell,energetic
Panda,275a9yzwGB6ncAW4SxY7q3,"['pop rap', 'rap', 'trap', 'viral trap']",Desiigner,energetic
Alarm,0OwX5aROoW1Iip8FV51Efg,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",Anne-Marie,energetic
Xo,07szho7oBzTazuymjyzpLg,[],Nightly,energetic
Back 2 U (feat. WALK THE MOON),5deDWZeDHWfYk9xaq9ynh4,"['k-pop', 'k-pop boy group']",Steve Aoki,energetic
Marching On,5LVj9daVd1q6fjICKyvl7Y,"['dance pop', 'edm', 'electra', 'electro house', 'electropop', 'pop dance']",Krewella,energetic
Talk,16zC5e1Sgl1FjEw0zPfG92,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",DJ Snake,energetic
Don't Let Me Down (feat. Daya) - Hardwell & Sephyx Remix,1JI70l1lE5IF2tgJm5TnMD,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",The Chainsmokers,energetic
Is It Love - Arty Remix,1qJhb6zftFI5PT39nL84vw,"['edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",3LAU,energetic
Bullet - Instant Karma Remix,6aFvJSvmAuTuQSPZwK8rrN,"['indie poptimism', 'la pop']",Chelsea Lankes,energetic
Broken Drum (feat. Fitz of Fitz and the Tantrums),1ueQDgg9WsjXF8NwJeLvUE,"['dance pop', 'pop', 'post-teen pop']",Cash Cash,energetic
Summer Nights,5f6RsonTFhC7T6nvXGQPeT,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",Tiësto,energetic
Love Is Blind (feat. GLNNA) - Attom & Oracles Remix,2aiqBLmyYxvBF443FU8VwH,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",CID,energetic
Good Enough (Michael Brun x The Ready Set),1JlNnlac0f4LWYaLVFB2ue,"['alternative pop rock', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'post-teen pop']",The Ready Set,energetic
So Much Love,13HEIb4DeOsMN8x8SxhzN8,['house'],Muzzaik,energetic
Flutter (Feat. Madi),7FiQUNyXClHIoKoy2ct96M,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'future bass', 'gaming dubstep', 'gaming edm']",Virtual Riot,energetic
How to Love (feat. Sofia Reyes) - Hellberg Remix,4aY5372weXNI9zRc1bQfqc,"['dance pop', 'pop', 'post-teen pop']",Cash Cash,energetic
Bonfire,2prC6PPOZIPBsCD3dQb3lm,"['alt z', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",Felix Jaehn,energetic
Cruel (feat. ZAYN),0B2RttXEiyXsMeQ7mMP3EI,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",Snakehips,energetic
Burn Wild (Young Bombs Remix),7qzzZG2V9HCz58RxyX5n8n,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",ROZES,energetic
Cold Water,7zsXy7vlHdItvUSH8EwQss,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",Major Lazer,energetic
Summer Heat - Radio Mix,1qnveWkOeefToJrPGWRlDg,[],Solidisco,energetic
How I Rise,6z8GNqgdHwVCUPdvYBDluv,"['edm', 'electropop', 'pop dance', 'pop edm', 'tropical house']",Kevin Writer,energetic
Silence - Sluggo x Loote Remix,4cROwMEQna9GgrAcR64io3,"['dance pop', 'pop', 'pop rap']",Mike Posner,energetic
Before (feat. N & Kat Nestel),0OR9wBSYgWk7sb6M0cH4SJ,"['funk', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",Scott Gold,energetic
Not Missin U (feat. Dria) - Radio Edit,3vIFds1JNwmnXbVZTmtCls,"['dance pop', 'pop', 'pop rap', 'rap']",Monn,energetic
Purple Lamborghini (with Rick Ross),6JyuJFedEvPmdWQW0PkbGJ,"['edm', 'electro house', 'pop dance']",Skrillex,energetic
Future Pt 2,5PsLICW9HfBbHZ64TT1liT,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",DJ Snake,energetic
This Is What You Came For (feat. Rihanna) - R3hab Remix,2Hh9mUcHvBF4OEMEKB2pgw,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,energetic
Healing,2qDmcePA2WjCRYDXuZWboY,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",St. Paul ,energetic
Oxygen,5VeYS6XprMw2iSwziPPu5l,"['alt z', 'chill pop', 'chill r&b', 'electropop', 'indie cafe pop', 'indie electropop', 'indie poptimism', 'la pop', 'pop', 'tropical house']",Prince Fox,energetic
Oceans (feat. Greyson Chance) - Radio Edit,1Ue1xqvrOq21ddE0dzYG1m,[],tyDi,energetic
Wheels In Motion,07vwIbS3flnvFzVKelZWrr,"['dance pop', 'pop', 'pop rap', 'r&b', 'scam rap', 'trap queen']",TWRK,energetic
Our Youth,3BWto5OqCXq9yKO1cZGnNn,"['electropop', 'indie poptimism', 'indie soul', 'modern alternative rock', 'modern rock', 'vapor soul']",Sonny Alven,energetic
Never Be Like You - Martin Solveig Remix,6a9brfnullCpI2I8RHgaMN,"['eau claire indie', 'indie folk', 'melancholia']",Flume,energetic
You & Me (Jupiter Project vs Adam Trigger),0sZyGHS3NyAaC8YuyhaF8b,[],Jupiter Project,energetic
All About It,30E8XAlfh6zoVsxga5LOIc,"['south african pop', 'south african pop dance']",Sketchy Bongo,energetic
Lies (feat. SZA),69uWK3Zy6dZ8gIrQpn26l1,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",Felix Snow,energetic
The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,"['dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",Mike Perry,energetic
Once in a While,4cBGOdNeyGhu8ROeIC6H9Q,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",Timeflies,energetic
Lose,5CldHsz8DpKHk2OiCs12RZ,[],Hvnnibvl,energetic
Burn Brighter,3WG7UMFxPC9MWbxhJIv4lN,['west australian hip hop'],Pavlova,energetic
"All of Me (feat. Logic, ROZES)",7FqsuPolV5GURA7p3HPQtn,"['edm', 'electronic trap', 'electropop', 'vapor twitch']",Big Gigantic,energetic
Follow Me,19aAvyfu96PEYMVigkJTgN,"['dance pop', 'deep house', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",Syn Cole,energetic
Came Up (feat. Post Malone & Key!),6GAhe3wXCDJP1RK5lZLyjX,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup', 'pop dance']",Flosstradamus,energetic
Whole Heart,4Z1t1aMRif8ES212kTN8H2,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Gryffin,energetic
Something Wrong,5T7fpq9q9GMOxAKu9LqZJr,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",Timeflies,energetic
Into You - 3LAU Remix,1cfVkL84XmRON3Gl9jDXKI,"['canadian contemporary r&b', 'canadian pop', 'pop']",Ariana Grande,energetic
Still Falling For You - Jonas Blue Remix,1KqquoEp6nWY1s46lwFoTF,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']",Ellie Goulding,energetic
Lost In You,4UrlusvpRQab5AWb1SqEjR,"['disco house', 'tech house', 'tribal house', 'vocal house']",Erick Morillo,energetic
Walking With Lions (Official Electric Zoo Anthem),79FLFt37dknKZOOMftjRSP,"['gaming edm', 'pop edm']",Codeko,energetic
10 Victoria's Secret Models - Whethan Remix,6m7CKXj6KatyQfJV9vK5oC,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",MAX,energetic
Lost & Found (feat. Zack B),31f9pxT3Klam9lBDsMDUfC,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",SRNO,energetic
Alive,7J2EJ4QMpGUbB2H3SYYYtU,['florida rap'],Madden,energetic
High - Young Bombs Remix,4clBqOymesRWckowzNNK15,['norwegian pop'],Jesper Jenset,energetic
To You (feat. Lee Fraser),01gu70jSrnQCY5BTbtlIjU,['glitchcore'],Neon Dreams,energetic
Fences,7BLjgK0bGcFiX9gZ8xCzL3,"['chicago soul', 'classic soul', 'funk', 'soul']",Pusher,energetic
Chasing Clouds - Radio Edit,2azeipUVZQybmBjKA1NL9r,"['deep house', 'deep tropical house', 'pop dance', 'pop edm', 'tropical house']",Möwe,energetic
Gotta Push On,6i1iegshodZpE8SB81cVVS,"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",GRiZ,energetic
Colors,400qVixdAaGueKeqm7zGcJ,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance', 'vapor twitch']",Boombox Cartel,energetic
QUEEN,2MqlYHVvhW13On1i02tkzF,['melodipop'],Hanne Leland,energetic
Call on Me - Ryan Riback Remix,14uKsvPJ0quzQvdB6f7Dur,"['aussietronica', 'pop dance', 'tropical house']",Starley,energetic
Samurai (feat. Katy Tiz),0VOsR3sEACivA46VDuaLai,"['electropop', 'europop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",Vanic,energetic
Let You Get Away - Extended Mix,3kyAIPvdEI0efI9OmqGqyr,"['canadian electronic', 'electro house', 'pop edm']",Shaun Frank,energetic
Love on Me,2MHCiOohBZEQuLgDTPvSzF,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Galantis,energetic
Stranger (feat. Elliphant),0jVPEBd4wyHupkTHwzQRyc,"['aussietronica', 'australian electropop', 'australian indie', 'australian pop', 'edm']",Peking Duk,energetic
Did You Wrong (feat. MAX),17yqfHa6dOTZr3UjJ8IZsi,"['gauze pop', 'vapor twitch']",Sweater Beats,energetic
I Like Tuh,5MGeW5mHnqeJiM0NPBbkEZ,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",Carnage,energetic
Endz - Original Mix,3dzEZARDL4ZwICMKVta7Xn,"['bass trap', 'edm', 'electro house', 'electronic trap']",Stooki Sound,energetic
Hey Baby (feat. Debs's Daughter),0JWeXAsgB7Bz9I87hmGpB9,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",Dimitri Vegas & Like Mike,energetic
Ain't Giving Up,3mkJigBxWd5DJUsRuwHG3f,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']",Craig David,energetic
All We Need,7AcQYm7d0csFhTJmbT6K77,"['alt z', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",King Topher,energetic
What We Started,0e3P53YVOXKnUKvqlU4D2j,"['baroque pop', 'emo', 'modern rock']",Don Diablo,energetic
Put Em Up,4DFaZyaQspxFSEjtuvlAO9,"['deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",Madison Mars,energetic
How Else (feat. Rich The Kid & ILOVEMAKONNEN) - David Guetta Remix,09PvKezSqiAvKDCvkpi4xm,"['k-pop', 'k-pop boy group']",Steve Aoki,energetic
Ritual (feat. Wrabel),04AYgtKFrpldRXe5y0LNGQ,"['chicago rap', 'melodic rap']",Marshmello,energetic
Stronger (feat. Alex Newell & Sean Bass) - Vindata Remix,3qeYxCEQV5A6nOto5lkk28,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",Clean Bandit,energetic
Love & War,3JgVSANe9EurifYohsq0MP,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']",Yellow Claw,energetic
Changes,1g4OCrWOov61RyYWrO4X7S,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",ID,energetic
Crash into You,5s0A50k4Gxzaam2NCoom3a,[],Artec,energetic
Waiting,56gJHV1MkyHIS4eDFbzoVa,"['bass trap', 'edm', 'electro house', 'electronic trap', 'electropop', 'pop dance']",RL Grime,energetic
Let Me Love You - Tiësto's AFTR:HRS Mix,7srwQKnqYsIY26Aatbazaq,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",DJ Snake,energetic
Wait for You - Kende Remix,2QsWxTbjZYlPFZoDfj6I54,"['indie soul', 'uk contemporary r&b']",Ady Suleiman,energetic
Different Sides (feat. Abi F Jones),2xAPpHbtoycAxm3dXqgYj2,[],Crying Robot,energetic
Get Your Way (feat. Roses Gabor),0DPkIJha3NGgjPdC9hNyk6,"['indie hip hop', 'vermont indie']",Brasstracks,energetic
Feel It (feat. Tunji Ige),4tynVZKUsd42chGJTaEdJK,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'tropical house', 'vocal house']",Good Times Ahead,energetic
Magic,7GYLsGlCPqSkLBNDC5mVyl,"['big room', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']",Thomas Gold,energetic
Hung Up,2ULg8Cw0Ckn5JDGUkCNXko,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']",Tritonal,energetic
Young Gods,6vV0Pkalmc9IVgD7PeBe6A,[],Total Ape,energetic
We Were Young - Sokko Extended Remix,6FXmEN9jS6LClq4uR1rsuP,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']",Gareth Emery,energetic
Black Barbies,3y9cCbnBn0zjkJa2YkOj70,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",Nicki Minaj,energetic
Savage (feat. Flux Pavilion & MAX),1Rl40PsX4mh9xVOeGHq86B,"['edm', 'electropop', 'indie poptimism', 'pop', 'tropical house', 'vapor soul', 'vapor twitch']",Whethan,energetic
Team,3NRrvr3ctGwpV1wLRjgSSs,"['dance pop', 'edm', 'electra', 'electro house', 'electropop', 'pop dance']",Krewella,energetic
Fixed On You,0YolUyrWD2DPxaTZgCF9xV,"['alternative dance', 'chillwave', 'electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'modern rock', 'shimmer pop', 'vapor soul']",Hotel Garuda,energetic
Teardrops,2Hyhfzw6u3EdSdiTAzg7fP,[],Cole Plante,energetic
Feels Right - Galloway Remix,41xpFBBttwitDVd7rEDc2p,['canadian electropop'],Jocelyn Alice,energetic
Bored To Death - Steve Aoki Remix,7xddswKFyyesNjV8wpCGLo,"['pop punk', 'punk', 'socal pop punk']",blink-182,energetic
Pillow Fight,7dpVgrdC2trdefUVOtYRrf,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Galantis,energetic
So Good (feat. Danny Shah) - Hight Remix,1hQAO0NQqqupkcIhsl4iuU,['new french touch'],Basic Tape,energetic
Take It to the Beat,2b6X2Miiq58bSMri9RCKOy,"['deep house', 'deep tropical house', 'house', 'new french touch', 'pop dance', 'tropical house']",Sons Of Maria,energetic
Home - it's different remix,26IjNdl4tms3X58yvgfv1l,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",MAX,energetic
No Chill (feat. Jackson Breit),4Y38k04rG5GMAYDDOzx47y,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",Big Z,energetic
Came Up (feat. Post Malone & Key!) - Casper & B. Remix,5XTIGcdUxuJA0m1Rxa6D6I,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup', 'pop dance']",Flosstradamus,energetic
Anything 4 U,3yiOqZH0WeLh5Q0PTVkFEm,"['pop rap', 'rap', 'trap', 'viral trap']",Luca Lush,energetic
Coastline,38HISZ2XqYKIIuHV1QSgiP,"['canadian electronic', 'slap house']",Steve Kroeger,energetic
