name,uri,genres,artist,mood
Perfect Strangers,1Te8WIfLudxjHTr66BL0JK,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",Jonas Blue,happy
It's Just Gotta Be That Way,1ALSCAxmx0zSt27vzEtLkZ,['deep southern soul'],Bobby Angelle,happy
I Will Wait,71O1jD7bF3cdMPvPi186V6,"['modern folk rock', 'modern rock', 'stomp and holler', 'uk americana']",Mumford & Sons,happy
Bohemian Like You,7jA4agDnt1Oc6Fn2hifX0t,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'rock']",The Dandy Warhols,happy
I Spy,3lo2RJDjqTUePp6KhGu3Eq,"['norwegian folk rock', 'norwegian indie']",Mikhael Paskalev,happy
Rock Around the Clock,3vGmNTCxk0OnOWbzIVFHgK,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",Bill Haley,happy
Silence,0nF3fbJFkhkd804YDhwNEA,[],thom.ko,happy
Give It Up,4AdgZcX33Iq9fQGRHWDr5j,"['disco', 'funk', 'motown', 'quiet storm', 'soft rock', 'soul']",KC & The Sunshine Band,happy
Paint a Smile On Me - Radio Edit,2hrsRRydXNtspNSehQU8RD,['french indie folk'],Black Yaya,happy
Woo Hoo,6S9lcjREUTU4Yv5y7oMcv2,"['japanese garage rock', 'japanese rockabilly', 'surf music']",The 5.6.7.8's,happy
The Game of Love - Main/Radio Mix,2RjkntlqlkbPFQjufJf8G9,"['blues rock', 'classic rock', 'mexican classic rock']",Santana,happy
Back To You,5F58VuAd1uTLEa3ojeaQfF,"['folk-pop', 'indiecoustica', 'stomp and holler']",Twin Forks,happy
Stuck In The Middle With You,1b7LMtXCXGc2EwOIplI35z,"['classic rock', 'classic uk pop', 'folk rock', 'soft rock']",Stealers Wheel,happy
Beat Of My Drum,6TGQYJzWx0IJrzK41mvSFG,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",POWERS,happy
Summer Of '69,6cnd6UwOyvEPWUjuuDKMIP,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",Bryan Adams,happy
I Believe in a Thing Called Love,756CJtQRFSxEx9jV4P9hpA,"['glam metal', 'hard rock', 'rock']",The Darkness,happy
Lightning Bolt,5s9sZ2i76iAZeFt5f9uUKP,"['modern rock', 'nottingham indie', 'rock']",Jake Bugg,happy
American Pie,2QgWuCtBpNIpl5trmKCxRf,"['adult standards', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",Don McLean,happy
If You Wanna Stay,6cfPJNoqJsiikMm2TmpiwT,"['electronic trap', 'electropop', 'future bass', 'pop edm', 'vapor twitch']",The Griswolds,happy
Move Your Feet,7cGfrVoC7G03XeXn7yflx5,['danish pop'],Junior Senior,happy
Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,[],George Michael,happy
I Gotta Have It,7mltbDRKBRKXff3dOtwqcA,['modern blues rock'],Jace Everett,happy
Town Called Malice,73RGpQg8Cxtly4QuHtNiOd,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",The Jam,happy
Pretoria Girls,6zkVSIgcGnqromeMTYmXv4,"['cape town indie', 'indie surf', 'south african alternative', 'south african pop']",Desmond and the Tutus,happy
Sweet Home Alabama,74QCZPlpayjvQ4yJJFljfQ,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",Lynyrd Skynyrd,happy
Waterloo,2p0QBZeBS5WGZG4P7SbQv0,"['europop', 'swedish pop']",ABBA,happy
Restless Year,3VuPTxBQqGGuXH0u0ic14D,"['alternative pop', 'transpop']",Ezra Furman,happy
Ain't No Mountain High Enough - Stereo Version,4gbR24XpCUTkoElYKZlrpO,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",Marvin Gaye,happy
Moi je joue,1YvAIf8NVPTlEwInU6mOBk,"['chanson', 'ye ye']",Brigitte Bardot,happy
Rock DJ - 2004 Mix,0lJEYLAJU5KtthQroas2ou,"['dance pop', 'dance rock', 'europop', 'pop']",Robbie Williams,happy
Umbrella,598ioS7kbtHNBemw00dRqh,"['new wave of glam metal', 'nightrun']",The Baseballs,happy
Think,1wwmkKWOk330VnN9IroMOI,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",Aretha Franklin,happy
Cake By The Ocean,42ftjU4cTN5UTRksyqBKZJ,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",DNCE,happy
You Can Call Me Al,6wLr2oR8eqUG5Beleh2Crm,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Paul Simon,happy
Walk Like an Egyptian,1gb5sUe1CuRBuT8twq8uhw,"['album rock', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'pop rock', 'rock', 'soft rock', 'synthpop']",The Bangles,happy
Sway,2ajUl8lBLAXOXNpG4NEPMz,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Michael Bublé,happy
All Star,22c2pt75xtnDddA5Zlm0yy,"['alternative rock', 'pop rock']",Smash Mouth,happy
Reggae Night,46JMEuyi5JFYSRzxeIWk9Q,"['dub', 'reggae', 'roots reggae']",Jimmy Cliff,happy
Viva L'amour,4xZl9afc0L9yCoxLK7dVmx,"['afropop', 'alte', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Sabina,happy
Lets Twist Again,2LL1UuRkaqDUjgjn7dBXbx,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",Chubby Checker,happy
The Look,46WVVHERbHreW3Ap2ztQt8,"['europop', 'new wave pop', 'pop rock', 'soft rock', 'swedish pop']",Roxette,happy
Don't Go Breaking My Heart,0bV4WoGRzmYV6y7OojZvqr,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",Elton John,happy
Can't Stand Me Now,71D4LseR0RADPbyvMeTIHR,"['alternative rock', 'britpop', 'dance-punk', 'garage rock', 'garage rock revival', 'indie rock', 'modern rock', 'rock']",The Libertines,happy
All I Wanna Do,4cqHVuDLFbO1XCr4nmks4S,"['alternative metal', 'nu metal']",Sheryl Crow,happy
Smile,79z9QkhHePTFsSeVw9uyj0,"['dance pop', 'pop']",Lily Allen,happy
Sir Duke,2udw7RDkldLFIPG9WYdVtT,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",Stevie Wonder,happy
Butterfly,095eK5hacN4Y9r7k8TyJ1B,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",Jason Mraz,happy
Uh La La La,1ahAVyeP1B027c03NlVSRd,"['kirtan', 'shamanic', 'world devotional']",Alexia,happy
Build Me up Buttercup (Re-Recorded),2Vi0fxL1fyE7KrKt3JihJn,"['brill building pop', 'bubblegum pop', 'motown']",The Foundations,happy
Pencil Full of Lead,6ACPfkfDfJfGGE4oKfbiRY,"['british soul', 'neo mellow', 'scottish singer-songwriter']",Paolo Nutini,happy
Daddy Cool,3WMbD1OyfKuwWDWMNbPQ4g,"['deep groove house', 'house', 'pop dance', 'uk dance']",Boney M.,happy
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,['alternative hip hop'],Gorillaz,happy
Happy,4zKox8k2E0QUS6Fs1FbHAR,"['guatemalan pop', 'r&b en espanol', 'urbano espanol']",EGOISM,happy
Johnny B. Goode,7KkzVlps826NezcpXPvEuV,"['adult standards', 'blues rock', 'classic rock', 'folk rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",Chuck Berry,happy
Sleeping in My Car - Single Version,2ifpR5UJBqfXYPgHvgWN91,"['europop', 'new wave pop', 'pop rock', 'soft rock', 'swedish pop']",Roxette,happy
Pack Up,5WLhAmEGwePI2RD9ZECTw7,"['house', 'pop', 'uk dance']",Eliza Doolittle,happy
Soul Galore,2aD4W01yVwT6SsZF4m1FAJ,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Jackie Wilson,happy
Fuck You,4ycLiPVzE5KamivXrAzGFG,['atl hip hop'],CeeLo Green,happy
Karma Chameleon,4NH4xiPQ7TqNGqj6pZV4ki,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",Culture Club,happy
Dreaming,79M4YK2A4CNxvmdc6A7her,"['electropop', 'hopebeat', 'indie pop', 'indie poptimism', 'la indie', 'la pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock']",Smallpools,happy
Relight My Fire - Single Version,0ZvLrvwzp0nBkfmtzL7XO1,"['disco', 'post-disco']",Dan Hartman,happy
Animal,4XTTwW06rMgud7yS1nySZf,"['alternative dance', 'dance-punk', 'electropop', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",Miike Snow,happy
I Wanna Dance with Somebody (Who Loves Me),2k1np6GRFvKjgjYfo2g39B,"['dance pop', 'pop', 'urban contemporary']",Whitney Houston,happy
Mercy,1dKm4a7TOYFzzTQvU59C59,"['british soul', 'dance pop', 'pop rock']",Duffy,happy
Two Princes,4ePP9So5xRzspjLFVVbj90,"['alternative rock', 'pop rock', 'rock']",Spin Doctors,happy
