name,uri,genres,artist,mood,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Endless Ether,5k0MvADsuxZCmFXnN3BSto,"['chillhop', 'focus beats', 'lo-fi beats']",fantompower,calm,0 days 00:03:21.875000,0.845,0.689,0.377,0.89,0.112,-17.186,0.042,126.927,0.137,4
Weather Club,4tcM1byHyYC8FE3tsKxxij,[],Luke Otwell,calm,0 days 00:02:36.230000,0.416,0.759,0.411,0.706,0.132,-8.233,0.0427,145.928,0.281,4
In the Middle of Nowhere,5SFQ6Mbny2G918Tl0KUkZM,[],Soulaced,calm,0 days 00:02:03,0.442,0.758,0.341,0.243,0.123,-10.172,0.105,80.007,0.447,4
yashinoki,7JcKF4YAz6AOW1b7RjTxnp,[],lōland,calm,0 days 00:02:24.750000,0.0589,0.763,0.556,0.855,0.218,-6.485,0.0741,160.055,0.688,4
bringmesun,4nxTHbrP3CYZtOsdsa682X,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Psalm Trees,calm,0 days 00:02:20.488000,0.864,0.657,0.294,0.886,0.0822,-12.695,0.0413,81.99,0.6,4
rooftop garden,3FUDpRdEB2nOwKR9lf6oPZ,"['dance pop', 'pop', 'uk pop']",Moody.,calm,0 days 00:01:43.500000,0.581,0.691,0.228,0.584,0.111,-19.099,0.0538,120.028,0.135,4
Pharaoh,169hAO6N9IbE1nGdudQPeo,"['chillhop', 'lo-fi beats']",Elior,calm,0 days 00:01:53.630000,0.482,0.764,0.145,0.762,0.185,-19.994,0.441,76.013,0.463,4
Jiyu,07Sx03dUY4jRXXtrM7zSs3,"['focus beats', 'lo-fi beats', 'lo-fi jazzhop']",SamuW,calm,0 days 00:02:18.706000,0.246,0.783,0.183,0.708,0.142,-10.173,0.103,140.049,0.287,4
Sunflower,6RE3l6ATL0g2b4s7K9D6Ic,[],Lofi Fruits Music,calm,0 days 00:01:40.063000,0.783,0.757,0.203,0.848,0.112,-14.426,0.0604,156.04,0.298,4
sunflower,1Dsvo4jg4zbpcAtYTu36Bd,[],owlh,calm,0 days 00:02:47.875000,0.457,0.675,0.609,0.663,0.0922,-8.461,0.0377,163.031,0.235,4
Awake,3tRzqJdt8IJGFyVJac26cj,[],Rosehip,calm,0 days 00:03:06,0.252,0.649,0.464,0.913,0.349,-9.226,0.0448,80.033,0.0695,4
Tea & Paper,4jHgYzJkg0UdRluZC98ZwS,[],Sitting Duck,calm,0 days 00:02:13.671000,0.868,0.55,0.291,0.958,0.103,-19.609,0.0524,79.012,0.108,4
Waterfall,2vIx9FiVtX8rVIhy0TsdtN,"['focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Jmss,calm,0 days 00:01:55.200000,0.951,0.644,0.425,0.931,0.141,-8.185,0.0362,75.015,0.268,4
I Thought it would be Different this Time,7w6gEfTguVjuys3WjRCXMI,[],Fdluxx,calm,0 days 00:02:40.909000,0.808,0.687,0.283,0.889,0.11,-13.306,0.113,175.857,0.37,4
Life Tools,1UnID8JHQyfGHZhX8mTkOz,[],Joel Manson,calm,0 days 00:01:44.471000,0.925,0.677,0.291,0.922,0.107,-14.449,0.103,85.096,0.0355,4
Balcony Vibes,3qfu4A3XzXzx9fY2eXRsLj,['lo-fi jazzhop'],Katashi Kaitō,calm,0 days 00:02:15.172000,0.683,0.826,0.466,0.476,0.116,-7.262,0.0729,87.043,0.571,4
Hover,2XNumkhv04B7Zr3Haj7hbk,"['chillhop', 'focus beats', 'lo-fi beats']",invention_,calm,0 days 00:02:24,0.497,0.575,0.198,0.644,0.12,-12.03,0.0627,85.021,0.167,4
Alone,7w7x1A6gF1EfyE52coLKxn,[],Mylo B,calm,0 days 00:02:10.978000,0.468,0.706,0.35,0.33,0.115,-10.072,0.0434,155.877,0.695,4
tears (is this even real?),1WiKzAtJ6E1AGjk0VFiT1U,[],jives,calm,0 days 00:02:55.624000,0.705,0.534,0.486,0.927,0.323,-10.058,0.0535,81.903,0.0937,4
Why Can't I Stop?,22Ecyv8DKCCmqZFkZleEAl,[],Yessam,calm,0 days 00:03:30,0.348,0.704,0.607,0.5,0.107,-8.25,0.0456,74.983,0.216,4
it was love,5093y2i2JV5h2e78FI7CA2,"['disco house', 'electro house', 'filter house', 'vocal house']",nrg,calm,0 days 00:02:22.342000,0.925,0.682,0.339,0.894,0.105,-10.693,0.0457,75.047,0.383,4
Killing Time,3WgPd7FVAvSxjjfdeS7wj4,['lo-fi jazzhop'],Malia Løu,calm,0 days 00:02:02.626000,0.65,0.728,0.392,0.363,0.0938,-12.058,0.0382,100.015,0.393,4
One_4_u,2VB8x2R7S8UCb7LhTPLnfe,[],TV Culture,calm,0 days 00:03:16.800000,0.264,0.695,0.206,0.884,0.14,-8.498,0.0689,85.016,0.521,4
eventually,4xygfhMXaQeBM9pFVaND7C,"['emo rap', 'sad rap']",ENRA,calm,0 days 00:02:29.340000,0.806,0.713,0.311,0.855,0.0673,-11.484,0.0369,90.027,0.133,4
Indian Summer,3f5gTBfp3LWjKibsbTA0kl,[],S I M,calm,0 days 00:02:19.059000,0.293,0.645,0.532,0.496,0.427,-7.572,0.0324,79.305,0.405,4
While We Wait,61YkyQUuii0m5rHxcD1ntq,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Devon Rea,calm,0 days 00:02:06,0.967,0.622,0.347,0.939,0.103,-15.89,0.0651,159.933,0.0803,4
San Francisco Nights,3bWN5Hibd5W2Zcz0hsM5Ga,['lo-fi jazzhop'],Katashi Kaitō,calm,0 days 00:01:55.125000,0.0598,0.622,0.394,0.882,0.0743,-9.559,0.04,80.013,0.487,4
Long Way Home,4vMvv3T7NXeelqnGQtLPaE,['vietnamese hip hop'],.Sinh,calm,0 days 00:01:22.963000,0.632,0.711,0.242,0.742,0.0888,-13.298,0.259,81.009,0.625,4
"Later, onesie",3zsSDCP0SXxYrhookKiuav,[],khaderbai,calm,0 days 00:03:00.366000,0.22,0.682,0.326,0.367,0.1,-14.364,0.0296,87.985,0.654,4
Lemon Sour in Shinjuku,4eAMEjoLSPuW0N6MnzWZR0,[],Taiyo Ky,calm,0 days 00:02:41.647000,0.639,0.616,0.348,0.936,0.0797,-12.401,0.0408,87.977,0.334,4
Homem,1JDdR5is4gANpzsjEklSUW,['lo-fi jazzhop'],Chancla,calm,0 days 00:02:17.931000,0.447,0.745,0.407,0.644,0.18,-11.328,0.23,86.989,0.482,4
Arise,4AYpY2kqEQk4IcwsdzLlR7,"['chillhop', 'focus beats', 'lo-fi beats', 'lo-fi jazzhop']",Phlocalyst,calm,0 days 00:02:54.500000,0.481,0.669,0.306,0.00491,0.0762,-9.112,0.0872,170.055,0.227,4
Lost Town,4NINP7JqSvbY7nW0d9uMK0,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",MON MON,calm,0 days 00:01:44.471000,0.26,0.644,0.149,0.904,0.13,-14.794,0.0368,84.994,0.265,4
Better Days,0eyYj5cj4zpLDWEGII3CeV,[],Lusca061,calm,0 days 00:03:43.212000,0.938,0.848,0.386,0.831,0.0764,-9.091,0.102,100.008,0.634,4
Ad Absurdum,6jQP2h18IwonLGFFs8C6wn,[],laqueus,calm,0 days 00:02:00,0.481,0.533,0.452,0.656,0.697,-12.042,0.185,164.196,0.489,4
Roots,6E44XejBm1JxzOSj1Sfdbl,[],Kupla,calm,0 days 00:02:18.947000,0.35,0.812,0.403,0.447,0.106,-8.448,0.232,75.89,0.382,4
Sweet Night,3nXvvnbiijvBjuDfuUODB1,"['chillhop', 'jazz boom bap', 'lo-fi beats', 'lo-fi jazzhop']",KLIM,calm,0 days 00:02:19.467000,0.0207,0.663,0.36,0.905,0.141,-2.549,0.067,86.132,0.608,4
Understanding,1vAVpTo34cjh35VVGx7DmS,[],Enluv,calm,0 days 00:01:48.608000,0.656,0.68,0.398,0.848,0.0931,-13.87,0.056,79.046,0.396,4
"Dreams Are Alright, I Guess",25Kyv3ljKdvU5pqSREXt6z,[],Lofi Fruits Music,calm,0 days 00:01:57.043000,0.678,0.755,0.422,0.854,0.109,-11.775,0.0333,119.995,0.565,4
Wonder,1VRCVrYfhdrfQtnJAgzI32,[],softy,calm,0 days 00:03:33.353000,0.949,0.498,0.478,0.371,0.286,-10.629,0.0441,84.385,0.24,4
Wonder,1VRCVrYfhdrfQtnJAgzI32,[],softy,calm,0 days 00:02:52.693000,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,0.132,4
show me the way,5A7Pp8vHPngJGvX0clde3k,"['chill out', 'lo-fi beats']",mr_slace,calm,0 days 00:02:35.588000,0.712,0.544,0.314,0.676,0.239,-15.559,0.394,102.394,0.156,4
Aconcagua,2tVHXIMmky5mOeQrolyOUV,['lo-fi beats'],Slumberville,calm,0 days 00:01:59.077000,0.416,0.82,0.17,0.859,0.0986,-12.969,0.0971,129.993,0.29,4
Follow the Light,5DYrui8LydVL0AzSkrUvgG,['lo-fi beats'],TABAL,calm,0 days 00:02:22.222000,0.822,0.598,0.405,0.643,0.11,-9.96,0.0315,81.01,0.286,4
Revolution,3E4dTWnLMaPDLSNj18hscR,[],ToMC Beatz,calm,0 days 00:03:31.765000,0.0986,0.63,0.455,0.864,0.505,-8.672,0.0656,84.977,0.794,4
Maple Leaf,0bQ3eenvwUusWM7uB9j1fa,"['chillhop', 'lo-fi beats']",Philanthrope,calm,0 days 00:02:18.353000,0.727,0.675,0.0837,0.948,0.12,-14.382,0.0741,170.048,0.339,4
Medicinal Sushi,3mbwQJDnCQxyclWLlj47FG,['lo-fi beats'],Chris Mazuera,calm,0 days 00:02:24,0.764,0.649,0.165,0.914,0.11,-16.808,0.0355,80.05,0.36,4
Golden Hours,6pFCWGvher1KJdEEsj55dn,['lo-fi beats'],Justnormal,calm,0 days 00:02:28.302000,0.926,0.53,0.175,0.114,0.103,-7.119,0.16,171.1,0.161,4
Now and Then,5YBP3Y8jFqwE7JJNXQFVo1,"['lo-fi beats', 'lo-fi jazzhop']",Tom Doolie,calm,0 days 00:01:54.562000,0.698,0.642,0.143,0.608,0.288,-10.596,0.308,176.076,0.652,4
Orange Juice,7clKjH2QghB3SmNPi5GuXC,"['australian indie', 'australian psych', 'double drumming', 'neo-psychedelic']",Sense,calm,0 days 00:02:41.444000,0.896,0.813,0.479,0.926,0.139,-11.741,0.361,145.179,0.568,4
Happy Friday,5OUWqKG6jXUQXyhjGaZYGD,[],Carl Down,calm,0 days 00:01:56.471000,0.422,0.767,0.172,0.158,0.0845,-18.683,0.0667,135.884,0.285,4
Fireplace,6anXmwNsau00G1wbS5XIyO,"['chillhop', 'lo-fi beats']",iamalex,calm,0 days 00:02:17.528000,0.171,0.873,0.637,0.00047,0.0758,-6.656,0.303,88.983,0.705,4
Mindfulness,06BYSLMHmOMOr1knt53RZv,[],Tohaj,calm,0 days 00:02:49.625000,0.74,0.638,0.38,0.797,0.0984,-9.16,0.0405,79.209,0.311,4
Somewhere New,4ruExpSbEiBnBa6uowGv3M,[],Kid Kio,calm,0 days 00:02:03.077000,0.762,0.494,0.254,0.865,0.0884,-13.709,0.0351,156.001,0.147,4
Drag Me Down - Instrumental,2U5PWftVMHfPwCxQwOQzPl,[],Kartoffel Club,calm,0 days 00:02:54.111000,0.506,0.679,0.412,0.83,0.111,-11.551,0.043,142.034,0.0859,3
Trees,56ma5MvBbtjzxZsuLMYJID,['focus beats'],Honshu Lo fi,calm,0 days 00:01:55.663000,0.641,0.632,0.38,0.918,0.342,-6.986,0.0334,83.054,0.362,4
Taonica,7z66nL3YErRDjn3ooQd7kM,['lo-fi beats'],Ymori,calm,0 days 00:02:27.905000,0.289,0.871,0.491,0.929,0.268,-10.745,0.0552,103.979,0.729,4
Tired,7rDkeTEQYR6WbV7VFDdqH9,[],softy,calm,0 days 00:03:51.429000,0.98,0.612,0.23,0.915,0.156,-12.187,0.0314,83.978,0.0632,4
Tired,7rDkeTEQYR6WbV7VFDdqH9,[],softy,calm,0 days 00:03:12.112000,0.0428,0.69,0.876,0.0,0.147,-4.159,0.059,123.994,0.493,4
Café,0nEPia8hOu2kZWOFEvFVAD,[],sky pedro,calm,0 days 00:01:53.407000,0.203,0.829,0.197,0.746,0.0994,-13.804,0.154,90.997,0.32,4
the village,3sHl6w5wL2D2XxQdAWiz5i,[],really big mountains,calm,0 days 00:02:03.750000,0.942,0.609,0.258,0.332,0.126,-11.357,0.0464,80.018,0.0795,4
Ayanapas Parabola,3ZuPTVSUn58viMEafhZasm,['lo-fi beats'],Orientale Pesetas,calm,0 days 00:01:43.059000,0.82,0.849,0.189,0.839,0.173,-15.103,0.067,85.044,0.377,4
Top Floor,0kkPb1GxoOzsP2sNJ84284,[],Moody Bit,calm,0 days 00:01:46.667000,0.855,0.669,0.368,0.586,0.119,-15.863,0.0357,89.977,0.282,4
Lost in Flight,2qyJG4XyYLCMl3qIWL30ET,"['chillhop', 'lo-fi beats', 'phonk']",SwuM,calm,0 days 00:02:50.769000,0.909,0.685,0.295,0.915,0.179,-12.472,0.0284,103.98,0.0877,4
Lucy,094DrAu8CNYdXuV2w3DruD,['lo-fi jazzhop'],Otis Neon,calm,0 days 00:02:10.200000,0.0694,0.636,0.373,0.87,0.122,-8.295,0.0623,86.995,0.319,4
Smokey,4p14eOpDYsh7lxZCNDFeF6,['lo-fi jazzhop'],Crate Diggers,calm,0 days 00:01:30,0.684,0.767,0.224,0.929,0.109,-11.05,0.0528,128.048,0.947,4
Window Camping,5WexdSeiaYKjHkPy1lcos9,['chill out'],ROOM7,calm,0 days 00:02:03,0.488,0.716,0.474,0.458,0.117,-10.607,0.131,159.993,0.706,4
Next Chapter,2aVeFGCCFGtAC267nbqg3H,[],Lofi Fruits Music,calm,0 days 00:02:09.059000,0.911,0.624,0.485,0.858,0.125,-11.829,0.0321,130.014,0.114,4
distance,3gnuPcRwJl5nMrCaOzgu5z,['lo-fi beats'],Rook1e,calm,0 days 00:01:21.596000,0.926,0.359,0.36,0.917,0.152,-11.751,0.0903,78.18,0.0725,4
